house_size,neighborhood,cost,bedrooms,bathrooms,garage,pool,yard,basement,nearby_features,house_description,neighborhood_description
3500,Eastwood Heights,450000,4,3,True,False,True,False,"This house is located in a quiet, family-friendly neighborhood with easy access to schools, parks, and shopping centers.","This beautiful 4 bedroom, 3 bathroom house boasts 3,500 square feet of living space, perfect for a growing family. Enjoy the convenience of a 2-car garage and a spacious yard, perfect for outdoor entertaining. With its modern design and open floor plan, this house is perfect for both everyday living and hosting guests.","Eastwood Heights is known for its safe and picturesque streets, making it a popular choice for families. Its close proximity to top-rated schools, neighborhood parks, and various shopping options make it an ideal location for those looking for convenience and comfort."
3000,Sunset Ridge,450000,4,3,True,False,True,True,"Walking distance to Sunset Elementary, Sunset Park, and Sunset Plaza shopping center.","This beautiful 4 bedroom, 3 bathroom house is located in the desirable neighborhood of Sunset Ridge. With a spacious 3000 square feet, this house is perfect for a growing family. The large yard and garage are perfect for outdoor and indoor activities, and the basement provides additional storage space. Enjoy the convenience of nearby schools, parks, and shopping centers.","Sunset Ridge is a family-friendly neighborhood with a strong sense of community. With the local elementary school, park, and shopping center just a short walk away, residents have easy access to all the amenities they need. The neighborhood is also known for its safety and peaceful atmosphere, making it the perfect place to raise a family."
2500,Oakwood Estates,450000,4,3,True,False,True,True,"Within walking distance to Oakwood Elementary School, Oakwood Park, and Oakwood Shopping Center.","This beautiful 4 bedroom, 3 bathroom home in the highly sought-after Oakwood Estates offers the perfect mix of convenience and luxury. The spacious bedrooms and open floor plan make it great for entertaining, while the basement and yard offer extra space for relaxation. With a garage and nearby amenities, this home has it all.",Oakwood Estates is a peaceful and safe neighborhood with top-rated schools and an abundance of parks and shopping centers. Enjoy the suburban lifestyle with the convenience of being close to all essential amenities.
2500,Fictionville,300000,4,2,True,True,True,True,"Within walking distance of parks, shopping, and public transportation.","This beautiful 4 bedroom, 2 bathroom house offers 2500 square feet of living space. The house boasts a large yard and a spacious pool, perfect for entertaining. It also has a garage and a fully finished basement, providing ample storage space. Located in the charming neighborhood of Fictionville, it is close to all amenities, making it the perfect place to call home.","Fictionville is a family-friendly neighborhood known for its lovely parks, excellent schools, and convenient access to public transportation. It also has a low crime rate and is surrounded by popular shopping centers, making it an ideal location for families or professionals looking for a safe and convenient place to live."
2500,Oakwood Heights,750000,4,3,True,False,True,True,"This house is located in the quiet and family-friendly neighborhood of Oakwood Heights. Nearby, you'll find excellent schools, parks, and shopping centers.","This beautiful 4-bedroom, 3-bathroom house is perfect for growing families. With a spacious yard and basement, there's plenty of room for kids and pets to play. The house also features a garage, perfect for keeping your car safe during snowy winters. The open floor plan and modern kitchen make it great for entertaining guests.","Located in the peaceful Oakwood Heights neighborhood, this house is surrounded by lush greenery and offers a safe and secure community for families. With excellent schools and plenty of nearby amenities, Oakwood Heights is known for being a great place to raise a family."
2500,Maplewood Heights,300000,4,3,True,False,True,True,"Within walking distance to top-rated schools, community parks, and shopping centers.","This stunning colonial-style home boasts 2500 square feet of living space. With 4 bedrooms and 3 bathrooms, there is plenty of space for a growing family. The spacious yard is perfect for outdoor entertaining, and the attached garage provides convenient storage. The finished basement offers the perfect space for a home office or game room. With modern finishes and upgrades throughout, this home is truly move-in ready.","Maplewood Heights is a highly sought-after neighborhood known for its excellent schools and family-friendly community. With ample amenities such as nearby parks, shopping, and dining options, this is the perfect neighborhood for raising a family. The neighborhood also boasts a low crime rate and a sense of security, making it an ideal place to call home."
2800,Oak Park,525000,4,3,True,False,True,True,"This beautiful home is located in the desirable neighborhood of Oak Park, just a short distance from top-rated schools and local parks.","This stunning 4 bedroom, 3 bathroom house features 2,800 square feet of luxurious living space. The spacious open floor plan is perfect for entertaining and includes a gourmet kitchen with top-of-the-line appliances, a cozy fireplace in the living room, and a large master suite with a luxurious en suite bathroom. The backyard oasis includes a covered patio and lush landscaping. Don't miss out on this amazing opportunity!","Oak Park is known for its family-friendly environment, with excellent schools and beautiful parks within walking distance. There are also plenty of shopping and dining options nearby. The neighborhood is safe and secure, with a strong sense of community that makes it a great place to call home."
3000,Willow Heights,450000,4,3,True,False,True,True,"Located near top-rated schools, beautiful parks, and a variety of shopping centers.","This stunning 3000 square foot home is perfect for families. With 4 bedrooms, 3 bathrooms, and a spacious basement, there is plenty of room for everyone. The house also has a large yard and a garage, perfect for outdoor activities and extra storage. The open floor plan and modern design make this home a must-see!","Willow Heights is a highly sought after neighborhood known for its peaceful and safe environment. This family-friendly community offers a variety of amenities, including top-rated schools, beautiful parks, and convenient shopping centers. Come be a part of this tight-knit community and call this lovely house your home!"
3500,Birchwood Heights,600000,4,3,True,False,True,True,"Located near top-rated schools, parks, and shopping centers.","Spacious and modern 4 bedroom, 3 bathroom house in desirable Birchwood Heights neighborhood. Includes a large garage, beautiful yard, and finished basement.","Birchwood Heights is a safe and family-friendly neighborhood with a strong sense of community. Enjoy access to top-rated schools, plenty of parks and green spaces, and convenient shopping options."
3500,Pine Creek,525000,4,3,True,False,True,True,"Pine Creek Elementary School, Pine Creek Community Park, Pine Creek Village Shopping Center","This beautiful 4 bedroom, 3 bathroom house is located in the desirable neighborhood of Pine Creek. It features a spacious 3500 square feet layout, perfect for a growing family. The house also has a 2-car garage and a large backyard with a patio. Inside, you will find a fully finished basement, perfect for a home theater or game room. The open concept living area boasts a cozy fireplace and large windows for natural light. Upstairs, you'll find the master bedroom with an en-suite bathroom and walk-in closet. This house is a must-see!","Pine Creek is a safe and family-friendly neighborhood with great schools and plenty of amenities. Enjoy the community park and take a stroll to the nearby shopping center for all your needs. With its convenient location and beautiful homes, Pine Creek is the perfect place to call home."
